scenario,step,t,x,y,z,vx,vy,vz,x_used,y_used,z_used,vx_used,vy_used,vz_used,roll,pitch,yaw,p,q,r,ref_x,ref_y,ref_z,err_x,err_y,err_z,err_norm,thrust_cmd,rates_des_x,rates_des_y,rates_des_z,action0,action1,action2,action3,noise_active,dropout_active,dropout_mode,reward
normal,1770,8.854999999999984,1.234011964054777,-0.5170436847842451,1.0044898032698966,0.16853378100151284,0.3906480007475625,-0.008282268156907035,1.234011964054777,-0.5170436847842451,1.0044898032698966,0.16853378100151284,0.3906480007475625,-0.008282268156907035,-0.008286877184379012,-0.01226823661055097,0.003930982409709994,0.19043222209760863,-0.3509729192082555,0.06510109625805607,0.752184937064105,-0.6589520623337242,1.0,-0.48182702699067204,-0.14190837754947905,-0.004489803269896564,0.5023100933594682,0.26107890598394107,-0.005697250516006516,-0.04333679589311192,-0.017329637702594946,0.12620965,-0.0054404736,-0.04138359,-0.016548585,False,False,NONE,-0.5050294353287686
normal,1771,8.859999999999985,1.2356861714276788,-0.5131376020830253,1.0044070699368992,0.16702294680718793,0.3905781521686552,-0.008400789408935757,1.2356861714276788,-0.5131376020830253,1.0044070699368992,0.16702294680718793,0.3905781521686552,-0.008400789408935757,-0.006467364653463538,-0.015106748396173677,0.004595209207303002,0.1735533425726477,-0.2609326026602384,0.06275820973921555,0.7542513807360973,-0.6565857557529639,1.0,-0.48143479069158146,-0.14344815366993857,-0.0044070699368992106,0.5023706328449046,0.2611431309705533,-0.027044814965984224,-0.0177037510598886,-0.019998032915985238,0.12679419,-0.025825895,-0.016905837,-0.019096715,False,False,NONE,-0.5050830453989705
normal,1772,8.864999999999986,1.2373430722261178,-0.5092336592165286,1.004317598778224,0.16522511354044023,0.39031877684177924,-0.009132093057550287,1.2373430722261178,-0.5092336592165286,1.004317598778224,0.16522511354044023,0.39031877684177924,-0.009132093057550287,-0.005129305775826645,-0.016795421729804697,0.005191867217301249,0.113387380165048,-0.14450723497745113,0.05828307190258696,0.7563103802514659,-0.654212968935868,1.0,-0.4810326919746519,-0.14497930971933937,-0.004317598778224019,0.5024242158318867,0.26137091627251463,-0.04683922384997283,0.0022830788001075098,-0.022397644624021478,0.12886737,-0.044728164,0.0021801796,-0.021388175,False,False,NONE,-0.505127056186831
normal,1773,8.869999999999987,1.238980467345345,-0.5053334325367296,1.0042238604853175,0.1632318358314351,0.3899150541726014,-0.009383214670988033,1.238980467345345,-0.5053334325367296,1.0042238604853175,0.1632318358314351,0.3899150541726014,-0.009383214670988033,-0.004560482025597588,-0.01758079761606577,0.005730651933183157,0.04499843442082749,-0.05230565290427113,0.05173585026955198,0.7583619152887163,-0.6518337253008851,1.0,-0.48061855205662873,-0.14650029276415555,-0.004223860485317532,0.5024682769672062,0.26147502564999814,-0.06223527919965789,0.017487683262966666,-0.02456711011738207,0.12981492,-0.059430312,0.016699508,-0.023459863,False,False,NONE,-0.5051601470049004
normal,1774,8.874999999999988,1.2405971598064225,-0.5014378332884194,1.0041281982656933,0.16114635674888228,0.38943743132046343,-0.009727875052808766,1.2405971598064225,-0.5014378332884194,1.0041281982656933,0.16114635674888228,0.38943743132046343,-0.009727875052808766,-0.004562334830394455,-0.017333397614657648,0.006255211016858414,-0.01996143839512488,0.046886518183879164,0.05113926624257427,0.7604059656000259,-0.6494480483301895,1.0,-0.48019119420639655,-0.14801021504177014,-0.004128198265693328,0.50250139181001,0.2616045885820998,-0.07397335352186721,0.025615474160989735,-0.02668098447962524,0.13099414,-0.07063935,0.024460975,-0.025478464,False,False,NONE,-0.5051819965277706
normal,1775,8.879999999999988,1.2421930038145352,-0.49754717857493824,1.0040275272552717,0.15906744897555747,0.38894332625717065,-0.010147818669771162,1.2421930038145352,-0.49754717857493824,1.0040275272552717,0.15906744897555747,0.38894332625717065,-0.010147818669771162,-0.00528190360855956,-0.01573018953402989,0.006722364967104422,-0.09102791917679606,0.1924761783167476,0.045948936711281294,0.7624425110114427,-0.6470559615694504,1.0,-0.47975049280309257,-0.1495087829945122,-0.004027527255271668,0.5025232656435942,0.2617562302921431,-0.08017544416084213,0.022858868944277733,-0.028566406193027034,0.13237432,-0.07656191,0.021828612,-0.027278908,False,False,NONE,-0.5051934882054374
normal,1776,8.88499999999999,1.243768903748681,-0.49366110397019713,1.003923341837689,0.15711214821908304,0.3885035091735095,-0.010420248858729908,1.243768903748681,-0.49366110397019713,1.003923341837689,0.15711214821908304,0.3885035091735095,-0.010420248858729908,-0.006567069772116435,-0.013558761588339761,0.007148492066772529,-0.1416494000537074,0.22346434802041606,0.04389411019083618,0.7644715314230869,-0.6446574886275969,1.0,-0.4792973723255941,-0.15099638465739973,-0.003923341837688943,0.502534846462412,0.26187095195701243,-0.08120046685349369,0.01407169487404096,-0.030288785821866393,0.13341846,-0.07754073,0.013437479,-0.02892366,False,False,NONE,-0.5051967900333163
normal,1777,8.88999999999999,1.2453267115933497,-0.48977856622816673,1.003822306678205,0.15535609961063837,0.3881821055414342,-0.010029389265073041,1.2453267115933497,-0.48977856622816673,1.003822306678205,0.15535609961063837,0.3881821055414342,-0.010029389265073041,-0.008067561155699732,-0.011384041854606517,0.007591648489952511,-0.15660942275246864,0.21374463578502323,0.04596578854487725,0.7664930068093456,-0.6422526531765894,1.0,-0.4788337047840041,-0.15247408694842268,-0.003822306678205045,0.5025382314374421,0.2618107058049801,-0.07907218052206905,0.0028349835026909996,-0.0320803906358112,0.13287012,-0.07550837,0.00270721,-0.030634517,False,False,NONE,-0.5051943171417164
normal,1778,8.89499999999999,1.2468685801696862,-0.48589814231731254,1.0037279561155132,0.15381527189697133,0.3880086498419255,-0.009261396763208533,1.2468685801696862,-0.48589814231731254,1.0037279561155132,0.15381527189697133,0.3880086498419255,-0.009261396763208533,-0.009648749926234193,-0.009477609895971711,0.008038275755984137,-0.14745432397850894,0.1846406281907343,0.046749185292700425,0.7685069172190728,-0.6398414789511829,1.0,-0.47836166295061333,-0.1539433366338704,-0.0037279561155132424,0.5025358983511969,0.2616487931550174,-0.07449868621726724,-0.008894760192684543,-0.03388699538932767,0.13139647,-0.071141005,-0.0084938705,-0.032359697,False,False,NONE,-0.5051885431504337
normal,1779,8.899999999999991,1.2483965652730253,-0.482018269714725,1.0036393191678532,0.1524747137226725,0.3879925819954245,-0.008703429406800106,1.2483965652730253,-0.482018269714725,1.0036393191678532,0.1524747137226725,0.3879925819954245,-0.008703429406800106,-0.010546447638450652,-0.007978900114970513,0.008528860828891992,-0.07638259381564176,0.13130004705833465,0.05235661416087139,0.7705132427757859,-0.6374239897486937,1.0,-0.4778833224972394,-0.15540572003396874,-0.0036393191678532055,0.502530250218116,0.26153935694530334,-0.07347512999038751,-0.01982883039361736,-0.03587065783303132,0.13040043,-0.07016358,-0.018935138,-0.034253955,False,False,NONE,-0.5051814860292839
